tough : 83,blanket : 0,annoying wifi : 0,blanket : 5,improve : 8,aircon : 58,dirty : 6
smallest room : 80,bother : 0,argue : 0,carrying : 5,inch : 8,smallest room : 58,improve : 6
electrical : 79,bottled : 0,aware guest : 0,concrete : 5,outdated : 8,struggle : 58,plastic : 6
waste : 77,bottled drink : 0,aware hotel : 0,improvement : 5,struggle : 8,electrical : 57,pricing : 6
curtain : 76,bottled tea : 0,aware management : 0,inch : 5,unfriendly : 8,waste : 57,pricy : 6
gripe : 73,bottled water : 0,aware person : 0,meat : 5,unsure : 8,mold : 56,rollaway bed : 6
struggle : 70,burger : 0,aware room : 0,mold : 5,worst hotel : 8,curtain : 52,weird : 6
not bother : 68,camping : 0,aware something : 0,opinion : 5,electrical outlet : 7,stale : 52,cramped room : 5
bedside : 67,carpet : 0,aware thing : 0,reviewer : 5,negative point : 7,uncomfortable bed : 51,curtain : 5
stale : 66,carrying : 0,aware traveler : 0,stick : 5,not bother : 7,meat : 50,electrical : 5
mold : 65,cigarette : 0,awkward : 0,waitress : 5,opinion : 7,not bother : 50,meat : 5
meat : 63,claim : 0,awkward bathroom : 0,walkway : 5,stale : 7,stuffy : 48,negative comment : 5
uncomfortable bed : 63,claustrophobic : 0,awkward bit : 0,cramped room : 4,stuffy room : 7,mediocre : 46,not bother : 5
device : 62,claustrophobic feel : 0,awkward configuration : 0,device : 4,sunday : 7,smallish : 46,ability : 4
improvement : 62,claustrophobic person : 0,awkward layout : 0,disturb : 4,training : 7,device : 45,electrical outlet : 4
plate : 61,claustrophobic room : 0,awkward position : 0,electrical : 4,uncomfortable bed : 7,improvement : 45,negative point : 4
stick : 60,concrete : 0,awkward shower : 0,negative thing : 4,abit : 6,plate : 45,poor service : 4
training : 59,confuse : 0,awkward situation : 0,plate : 4,crew : 6,bedside : 44,pricey hotel : 4
smallish : 57,correct : 0,awkward time : 0,romantic : 4,gripe : 6,trash : 43,pricey side : 4
trash : 56,correct amount : 0,background : 0,shelf : 4,hilton : 6,romantic : 42,ridiculous : 4
mediocre : 55,correct breakfast : 0,backpacker : 0,training : 4,mixed : 6,burger : 41,romantic : 4
poor service : 55,correct bus : 0,ball : 0,uncomfortable bed : 4,paint : 6,criticism : 41,rule : 4
sunday : 55,correct exit : 0,bang : 0,warning : 4,poor breakfast : 6,unacceptable : 41,skip : 4
criticism : 52,correct hotel : 0,bare : 0,worst hotel : 4,reviewer : 6,negative thing : 40,smallest detail : 4
romantic : 52,correct information : 0,bare bone : 0,yellow : 4,stick : 6,claustrophobic : 38,stressful : 4
burger : 49,correct location : 0,bare foot : 0,ability : 3,awkward : 5,poor service : 38,sunday : 4
exciting : 49,correct number : 0,bare footed : 0,affect : 3,burger : 5,stick : 38,tough : 4
negative thing : 49,correct order : 0,bare minimum : 0,awkward : 3,claustrophobic : 5,training : 38,warning : 4
unacceptable : 49,correct password : 0,bare necessity : 0,bang : 3,dangerous : 5,sunday : 37,carrying : 3
unsure : 48,correct place : 0,bare room : 0,dead : 3,funny : 5,concrete : 35,concrete : 3
cramped room : 47,correct price : 0,bare wall : 0,dresser : 3,improvement : 5,pricing : 35,crew : 3
concrete : 46,correct room : 0,bedside : 0,duvet : 3,insist : 5,unsure : 35,cupboard : 3
pricy : 46,correct service : 0,big negative : 0,electrical outlet : 3,not working : 5,cramped room : 34,dated : 3
waitress : 46,correct spelling : 0,blanket : 0,insist : 3,pain : 5,pricy : 34,funny : 3
claustrophobic : 45,correct time : 0,bother : 0,minor issue : 3,poor hotel : 5,abit : 33,gesture : 3
shelf : 45,correct way : 0,bottled : 0,negative point : 3,smallish : 5,cupboard : 33,gripe : 3
useless : 45,cottage : 0,bottled drink : 0,negative review : 3,trash : 5,exciting : 33,handful : 3
