tough : 83,waste : 4,curtain : 30,stale : 22,device : 3,romantic : 23,blanket : 0
smallest room : 80,weird : 4,awkward : 29,trash : 21,dirty carpet : 3,stick : 23,bother : 0
electrical : 79,abit : 3,stale : 28,awkward : 20,disappointment : 3,bedside : 22,bottled : 0
waste : 77,bedside : 3,not bother : 27,curtain : 20,improvement : 3,stuffy : 22,bottled drink : 0
curtain : 76,bottled : 3,uncomfortable bed : 27,smallish : 20,neck : 3,tough : 22,bottled tea : 0
gripe : 73,bottled water : 3,waste : 27,bare : 19,negative feedback : 3,rollaway : 21,bottled water : 0
struggle : 70,device : 3,gripe : 26,bedside : 19,paper : 3,cramped : 20,burger : 0
not bother : 68,dirty room : 3,claustrophobic : 25,funny : 19,plate : 3,electrical : 20,camping : 0
bedside : 67,disturb : 3,useless : 25,waste : 19,pricey room : 3,waste : 20,carpet : 0
stale : 66,garbage : 3,walkway : 25,mold : 18,pricing : 3,pricing : 19,carrying : 0
mold : 65,inch : 3,plate : 24,tough : 18,reviewer : 3,training : 19,cigarette : 0
meat : 63,not bother : 3,policy : 24,gripe : 17,rude staff : 3,wardrobe : 19,claim : 0
uncomfortable bed : 63,opinion : 3,smallish : 24,meat : 16,struggle : 3,pricy : 18,claustrophobic : 0
device : 62,plug : 3,concrete : 23,not bother : 16,unacceptable : 3,carrying : 17,claustrophobic feel : 0
improvement : 62,rule : 3,struggle : 23,opinion : 16,waitress : 3,criticism : 17,claustrophobic person : 0
plate : 61,skip : 3,bedside : 22,poor breakfast : 16,worst hotel : 3,curtain : 17,claustrophobic room : 0
stick : 60,smallish : 3,cramped room : 22,stick : 15,abit : 2,not bother : 17,concrete : 0
training : 59,struggle : 3,improvement : 22,sunday : 15,affect : 2,poor service : 17,confuse : 0
smallish : 57,stuffy room : 3,disturb : 21,worst hotel : 15,annoying noise : 2,waitress : 17,correct : 0
trash : 56,trash : 3,minor issue : 21,abit : 14,dead : 2,sunday : 16,correct amount : 0
mediocre : 55,affair : 2,poor service : 21,device : 14,disappointing breakfast : 2,unsure : 16,correct breakfast : 0
poor service : 55,background : 2,training : 21,dirty carpet : 14,feedback : 2,mold : 15,correct bus : 0
sunday : 55,bang : 2,cottage : 20,negative comment : 14,handful : 2,rollaway bed : 15,correct exit : 0
criticism : 52,camping : 2,criticism : 20,not working : 14,hanger : 2,dead : 14,correct hotel : 0
romantic : 52,carrying : 2,sunday : 20,unacceptable : 14,improve : 2,horrible : 14,correct information : 0
burger : 49,confuse : 2,dangerous : 19,cupboard : 13,inconsistent : 2,trash : 14,correct location : 0
exciting : 49,crew : 2,fashion : 19,dangerous : 13,insist : 2,handful : 13,correct number : 0
negative thing : 49,dirty clothe : 2,inch : 19,dusty : 13,meat : 2,london : 13,correct order : 0
unacceptable : 49,drunk : 2,reviewer : 19,feedback : 13,not working : 2,pricey hotel : 13,correct password : 0
unsure : 48,electrical : 2,stick : 19,improvement : 13,other negative : 2,pricey restaurant : 13,correct place : 0
cramped room : 47,electrical outlet : 2,unsure : 19,mediocre : 13,paint : 2,shelf : 13,correct price : 0
concrete : 46,exciting : 2,wet room : 19,negative point : 13,plug : 2,struggle : 13,correct room : 0
pricy : 46,funny smell : 2,hilton : 18,poor english : 13,pricey bit : 2,unacceptable : 13,correct service : 0
waitress : 46,gripe : 2,negative thing : 18,pricy : 13,romantic : 2,unfriendly : 13,correct spelling : 0
claustrophobic : 45,hilton : 2,trash : 18,ridiculous : 13,skip : 2,electrical outlet : 12,correct time : 0
shelf : 45,meat : 2,unacceptable : 18,training : 13,smallest room : 2,meat : 12,correct way : 0
useless : 45,minor complaint : 2,warning : 18,uncomfortable pillow : 13,smallish : 2,negative comment : 12,cottage : 0
abit : 43,minor drawback : 2,burger : 17,cramped room : 12,stain : 2,negative thing : 12,cramped : 0
disturb : 43,minor problem : 2,cupboard : 17,negative thing : 12,stick : 2,pain : 12,cramped area : 0
worst hotel : 43,minor thing : 2,mold : 17,poor quality : 12,sunday : 2,rule : 12,cramped bathroom : 0
cupboard : 42,mixed capsule : 2,negative point : 17,useless : 12,terrible : 2,ugly : 12,cramped bedroom : 0
pricing : 42,negative thing : 2,waitress : 17,bang : 11,tough : 2,unreasonable : 12,cramped feel : 0
poor breakfast : 41,only negative : 2,abit : 16,claustrophobic : 11,ugly : 2,feedback : 11,cramped hotel : 0
reviewer : 41,outdated : 2,shelf : 16,concrete : 11,uncomfortable mattress : 2,insist : 11,cramped lobby : 0
unfriendly : 41,plate : 2,yellow : 16,criticism : 11,unfriendly : 2,minor issue : 11,cramped quarters : 0
not working : 40,poor conditioning : 2,device : 15,disturb : 11,wet : 2,stale : 11,cramped room : 0
feedback : 38,poor food : 2,electrical outlet : 15,neck : 11,write : 2,warning : 11,cramped size : 0
dusty : 37,renovation : 2,pain : 15,poor service : 11,ability : 0,burger : 10,cramped space : 0
electrical outlet : 37,ridiculous : 2,poor breakfast : 15,stain : 11,accord : 0,inconsistent : 10,crap : 0
fashion : 37,sharp : 2,romantic : 15,stuffy : 11,accurate : 0,minor negative : 10,crazy : 0
