Word_ID,Word,Positive_Entropy,Negative_Entropy
1,一,0.3657241838075462,0.4213157970077041
2,一流,0.159905963294293,0.0
3,一般,0.0,0.20373657604562426
4,三,0.09264634328370981,0.0
5,下次,0.10088943001587482,0.0
6,不,0.4335298840885762,0.46492560415063655
7,不错,0.39416396532532516,0.0
8,东京,0.2342580020310321,0.12854346771795822
9,个,0.34985630439146437,0.2894322211909298
10,中文,0.0,0.20373657604562426
11,之,0.20177886003174964,0.20373657604562426
12,也,0.3026682900476244,0.25708693543591643
13,了,0.27744593254365574,0.40747315209124857
14,五星级,0.159905963294293,0.0
15,交通,0.28323243793865244,0.12854346771795822
16,享用,0.159905963294293,0.0
17,人,0.3026682900476244,0.35034272199437827
18,人员,0.10088943001587482,0.0
19,以上,0.0,0.12854346771795822
20,以后,0.20177886003174964,0.0
21,价格,0.0,0.20373657604562426
22,会,0.25440688650554527,0.20373657604562426
23,但,0.0,0.3322800437635825
24,位置,0.33514743204690683,0.20373657604562426
25,住,0.25440688650554527,0.25708693543591643
26,住的,0.10088943001587482,0.0
27,你,0.0,0.0
28,便利,0.159905963294293,0.0
29,入住,0.0,0.0
30,再,0.0,0.12854346771795822
31,出,0.2607953933101678,0.09279914075984073
32,出站,0.0,0.0
33,出行,0.20177886003174964,0.0
34,分钟,0.0,0.0
35,到,0.22716558330487627,0.333558295113356
36,华人,0.0,0.11804093090031878
37,卫生,0.20177886003174964,0.0
38,去,0.19390223002468215,0.25708693543591643
39,口,0.10088943001587482,0.0
40,只,0.0,0.2894322211909298
41,只有,0.0,0.12854346771795822
42,可,0.3733352539713593,0.29846868910857394
43,可以,0.36168482332604274,0.0
44,吃,0.3490200841832122,0.12854346771795822
45,吃饭,0.20177886003174964,0.12854346771795822
46,各方面,0.159905963294293,0.0
47,吧,0.0,0.20373657604562426
48,周边,0.28323243793865244,0.0
49,和,0.20177886003174964,0.25708693543591643
50,商务区,0.0,0.0
51,四,0.159905963294293,0.12854346771795822
52,园林,0.10088943001587482,0.0
53,在,0.3026682900476244,0.29846868910857394
54,地,0.43883359955923995,0.3534945362243851
55,地方,0.159905963294293,0.0
56,地理,0.0,0.12854346771795822
57,地铁,0.38412186795452713,0.12854346771795822
58,地铁站,0.2607953933101678,0.0
59,坐,0.20177886003174964,0.0
60,塔楼,0.10088943001587482,0.0
61,多,0.3026682900476244,0.2894322211909298
62,大,0.3807120413232085,0.0
63,大谷,0.0,0.0
64,太,0.159905963294293,0.20373657604562426
65,好,0.46419000900871593,0.25708693543591643
66,好吃,0.10088943001587482,0.0
67,如果,0.0,0.12854346771795822
68,客房,0.10088943001587482,0.0
69,家,0.20177886003174964,0.12854346771795822
70,小,0.1513341450238122,0.20373657604562426
71,就,0.159905963294293,0.29846868910857394
72,就是,0.0,0.25708693543591643
73,层,0.0,0.0
74,工具,0.0,0.0
75,干净,0.23799196397130373,0.0
76,庭院,0.2342580020310321,0.0
77,很,0.49867104834672316,0.2894322211909297
78,很多,0.20177886003174964,0.0
79,很好,0.10088943001587482,0.0
80,总之,0.10088943001587482,0.0
81,总体,0.10088943001587482,0.0
82,想,0.20177886003174964,0.12854346771795822
83,想去,0.10088943001587482,0.0
84,慎重,0.0,0.0
85,成田,0.0,0.0
86,我,0.159905963294293,0.24705130202139064
87,房间,0.159905963294293,0.37890793704281345
88,挺,0.159905963294293,0.0
89,换乘,0.0,0.0
90,推荐,0.1664698216335159,0.0
91,新,0.22716558330487627,0.12854346771795822
92,方便,0.4179510455784047,0.20373657604562426
93,旁边,0.0,0.0
94,日式,0.2607953933101678,0.0
95,日本,0.2607953933101678,0.0
96,早餐,0.3026682900476244,0.0
97,时,0.20177886003174964,0.20373657604562426
98,时候,0.159905963294293,0.0
99,是,0.34486991832339686,0.5054506591763648
100,是否,0.10088943001587482,0.0
101,晚上,0.0,0.0
102,景色,0.10088943001587482,0.0
103,更,0.0,0.12854346771795822
104,最,0.20177886003174964,0.12854346771795822
105,有,0.3967111655750627,0.5033925377381974
106,有名,0.10088943001587482,0.0
107,有点,0.0,0.25708693543591643
108,服务,0.35655929999433117,0.23041175574077036
109,机场,0.0,0.0
110,棒,0.10088943001587482,0.0
111,次,0.20177886003174964,0.10428450340169823
112,欣赏,0.159905963294293,0.0
113,此,0.159905963294293,0.0
114,比,0.10088943001587482,0.3322800437635825
115,比较,0.0,0.25708693543591643
116,没有,0.0,0.24705130202139064
117,漂亮,0.20177886003174964,0.0
118,瀑布,0.10088943001587482,0.0
119,烤肉,0.10088943001587482,0.0
120,热情,0.159905963294293,0.0
121,环境,0.28323243793865244,0.0
122,的,0.47589044534732255,0.45921761254681054
123,相当,0.10088943001587482,0.0
124,看到,0.0,0.12854346771795822
125,真心,0.159905963294293,0.0
126,离,0.28323243793865244,0.12854346771795822
127,种,0.0,0.0
128,窗,0.159905963294293,0.0
129,站,0.297392053251725,0.11804093090031878
130,竟然,0.0,0.12854346771795822
131,算,0.20177886003174964,0.12854346771795822
132,线,0.0,0.0
133,结果,0.0,0.0
134,美景,0.159905963294293,0.0
135,美食,0.159905963294293,0.0
136,羽田,0.0,0.0
137,老,0.0,0.12854346771795822
138,而且,0.159905963294293,0.0
139,能,0.0,0.20373657604562426
140,舒服,0.10088943001587482,0.0
141,花园,0.3026682900476244,0.0
142,药,0.10088943001587482,0.0
143,蛮,0.10088943001587482,0.0
144,见,0.0,0.12854346771795822
145,订,0.0,0.12854346771795822
146,设施,0.159905963294293,0.3322800437635825
147,评价,0.0,0.0
148,说,0.159905963294293,0.20373657604562426
