p_val,List cutoff,Emotion,RBO_EXT,RBO_MIN,RBO_RES
0.9,None,Satisfaction,0.18197614784313684,0.1816101779148091,0.001109331939691315
0.9,None,Dissatisfaction,0.0,0.0,0.23299209354738198
0.9,20,Satisfaction,0.18940581983131385,0.1773703813278755,0.06249176197307063
0.9,20,Dissatisfaction,0.0,0.0,0.269736792681901
0.9,10,Satisfaction,0.12528424343571426,0.1108427881104495,0.24940722912188318
0.9,10,Dissatisfaction,0.0,0.0,0.34173657461982127
0.9,7,Satisfaction,0.14410864285714284,0.1108427881104495,0.37363188295269667
0.9,7,Dissatisfaction,0.0,0.0,0.4442989627905195
0.9,5,Satisfaction,0.17644500000000002,0.1108427881104495,0.48730697206812196
0.9,5,Dissatisfaction,0.0,0.0,0.5529247601785714
0.75,None,Satisfaction,0.12658883418463737,0.12658880327647104,1.0017964730238809e-07
0.75,None,Dissatisfaction,0.0,0.0,0.04219304188172937
0.75,20,Satisfaction,0.12672504426975026,0.1265559261896172,0.0009587546481834679
0.75,20,Dissatisfaction,0.0,0.0,0.043821464387596196
0.75,10,Satisfaction,0.11976732526506698,0.11834812037329685,0.027713648917205277
0.75,10,Dissatisfaction,0.0,0.0,0.060663404343435756
0.75,7,Satisfaction,0.12437569754464285,0.11834812037329685,0.07939086733727188
0.75,7,Dissatisfaction,0.0,0.0,0.11613432215405747
0.75,5,Satisfaction,0.1365234375,0.11834812037329685,0.16147185861317076
0.75,5,Dissatisfaction,0.0,0.0,0.20657779148646765
0.5,None,Satisfaction,0.06822238548287644,0.06822238548287896,-1.3212850443083795e-16
0.5,None,Dissatisfaction,0.0,0.0,0.0016155694137161714
0.5,20,Satisfaction,0.06822241403448616,0.06822238481089027,1.6698548994037284e-07
0.5,20,Dissatisfaction,0.0,0.0,0.0016171822641990177
0.5,10,Satisfaction,0.06816251240079364,0.06814718055994529,0.00030646212834554987
0.5,10,Dissatisfaction,0.0,0.0,0.00194724641135774
0.5,7,Satisfaction,0.06837797619047618,0.06814718055994529,0.0032156701852294953
0.5,7,Dissatisfaction,0.0,0.0,0.007200774485930733
0.5,5,Satisfaction,0.06979166666666667,0.06814718055994529,0.016111561999578347
0.5,5,Dissatisfaction,0.0,0.0,0.026967075892857156
0.25,None,Satisfaction,0.019296245755674207,0.01929624575567246,1.3837107933463561e-30
0.25,None,Dissatisfaction,0.0,0.0,9.486325100523769e-06
0.25,20,Satisfaction,0.019296245755693824,0.019296245755676456,1.1213588656240533e-13
0.25,20,Dissatisfaction,0.0,0.0,9.486342718036347e-06
0.25,10,Satisfaction,0.01929622831798735,0.019296217355342704,2.19252656119518e-07
0.25,10,Dissatisfaction,0.0,0.0,9.966441009924318e-06
0.25,7,Satisfaction,0.019297572544642858,0.019296217355342704,1.8971290457612692e-05
0.25,7,Dissatisfaction,0.0,0.0,8.601089576622104e-05
0.25,5,Satisfaction,0.0193359375,0.019296217355342704,0.00039672131304463974
0.25,5,Dissatisfaction,0.0,0.0,0.001138251168387277
