bedside : 67,claustrophobic : 0,awkward bit : 0,mold : 5,worst hotel : 8,stale : 52,cramped room : 5
stale : 66,claustrophobic feel : 0,awkward configuration : 0,opinion : 5,electrical outlet : 7,uncomfortable bed : 51,curtain : 5
mold : 65,claustrophobic person : 0,awkward layout : 0,reviewer : 5,opinion : 7,meat : 50,electrical : 5
meat : 63,claustrophobic room : 0,awkward position : 0,stick : 5,stale : 7,stuffy : 48,meat : 5
uncomfortable bed : 63,concrete : 0,awkward shower : 0,waitress : 5,stuffy room : 7,mediocre : 46,ability : 4
device : 62,confuse : 0,awkward situation : 0,walkway : 5,sunday : 7,smallish : 46,electrical outlet : 4
improvement : 62,correct : 0,awkward time : 0,cramped room : 4,training : 7,device : 45,poor service : 4
plate : 61,correct amount : 0,background : 0,device : 4,uncomfortable bed : 7,improvement : 45,pricey hotel : 4
stick : 60,correct breakfast : 0,backpacker : 0,disturb : 4,abit : 6,plate : 45,pricey side : 4
training : 59,correct bus : 0,ball : 0,electrical : 4,crew : 6,bedside : 44,ridiculous : 4
smallish : 57,correct exit : 0,bang : 0,plate : 4,gripe : 6,trash : 43,romantic : 4
trash : 56,correct hotel : 0,bare : 0,romantic : 4,mixed : 6,romantic : 42,rule : 4
mediocre : 55,correct information : 0,bare bone : 0,shelf : 4,paint : 6,burger : 41,skip : 4
poor service : 55,correct location : 0,bare foot : 0,training : 4,poor breakfast : 6,criticism : 41,smallest detail : 4
sunday : 55,correct number : 0,bare minimum : 0,uncomfortable bed : 4,reviewer : 6,unacceptable : 41,stressful : 4
criticism : 52,correct order : 0,bare necessity : 0,warning : 4,stick : 6,claustrophobic : 38,sunday : 4
romantic : 52,correct password : 0,bare room : 0,worst hotel : 4,awkward : 5,poor service : 38,tough : 4
burger : 49,correct place : 0,bare wall : 0,yellow : 4,burger : 5,stick : 38,warning : 4
exciting : 49,correct price : 0,bedside : 0,ability : 3,claustrophobic : 5,training : 38,carrying : 3
unacceptable : 49,correct room : 0,blanket : 0,affect : 3,dangerous : 5,sunday : 37,concrete : 3
unsure : 48,correct service : 0,bottled : 0,awkward : 3,funny : 5,concrete : 35,crew : 3
cramped room : 47,correct spelling : 0,bottled drink : 0,bang : 3,improvement : 5,pricing : 35,cupboard : 3
concrete : 46,correct time : 0,bottled tea : 0,dead : 3,insist : 5,unsure : 35,dated : 3
pricy : 46,correct way : 0,bottled water : 0,dresser : 3,pain : 5,cramped room : 34,funny : 3
waitress : 46,cottage : 0,burger : 0,duvet : 3,poor hotel : 5,pricy : 34,gesture : 3
claustrophobic : 45,cramped : 0,camping : 0,electrical outlet : 3,smallish : 5,abit : 33,gripe : 3
shelf : 45,cramped area : 0,claim : 0,insist : 3,trash : 5,cupboard : 33,handful : 3
useless : 45,cramped bathroom : 0,claustrophobic : 0,minor issue : 3,unacceptable : 5,exciting : 33,liking : 3
abit : 43,cramped bedroom : 0,claustrophobic feel : 0,plug : 3,bedside : 4,unfriendly : 32,mediocre : 3
disturb : 43,cramped feel : 0,claustrophobic person : 0,policy : 3,claim : 4,dirty carpet : 31,minor complaint : 3
worst hotel : 43,cramped hotel : 0,claustrophobic room : 0,poor breakfast : 3,cramped room : 4,feedback : 31,pricey room : 3
cupboard : 42,cramped lobby : 0,concrete : 0,poor service : 3,device : 4,poor breakfast : 31,smallest room : 3
pricing : 42,cramped quarters : 0,confuse : 0,renovation : 3,dusty : 4,dusty : 30,smallish : 3
poor breakfast : 41,cramped room : 0,correct amount : 0,rude staff : 3,fashion : 4,fashion : 30,stale : 3
reviewer : 41,cramped size : 0,correct breakfast : 0,smallish : 3,feedback : 4,worst hotel : 30,struggle : 3
unfriendly : 41,cramped space : 0,correct bus : 0,abit : 2,london : 4,bare : 29,tear : 3
feedback : 38,crap : 0,correct exit : 0,argue : 2,mediocre : 4,minor issue : 29,unacceptable : 3
dusty : 37,crazy : 0,correct hotel : 0,confuse : 2,not disturb : 4,reviewer : 29,useless : 3
electrical outlet : 37,crazy amount : 0,correct information : 0,correct way : 2,pricy : 4,waitress : 29,wet room : 3
fashion : 37,crazy city : 0,correct location : 0,criticism : 2,shelf : 4,pain : 28,worse : 3
minor issue : 37,crazy hour : 0,correct number : 0,cupboard : 2,stiff : 4,disturb : 27,affect : 2
pain : 37,crazy kid : 0,correct order : 0,dirty floor : 2,unfriendly staff : 4,shelf : 27,dead area : 2
warning : 37,crazy night : 0,correct password : 0,disappointing restaurant : 2,useless : 4,useless : 27,disappointing recommendation : 2
dangerous : 36,crazy number : 0,correct place : 0,drunk : 2,waitress : 4,drain : 25,disturb : 2
london : 36,crazy price : 0,correct price : 0,exciting : 2,warning : 4,remind : 25,fashion : 2
dirty carpet : 34,crazy shopper : 0,correct room : 0,friday : 2,waste : 4,shock : 25,feedback : 2
wet room : 34,crazy shopping : 0,correct service : 0,funny smell : 2,wet room : 4,ugly : 25,insist : 2
crew : 33,crazy station : 0,correct spelling : 0,garbage : 2,yellow : 4,warning : 25,little uncomfortable : 2
dead : 33,crazy time : 0,correct time : 0,gripe : 2,ability : 3,wet room : 25,minor detail : 2
bare : 32,crazy view : 0,correct way : 0,handful : 2,affect : 3,crew : 24,minor issue : 2
insist : 32,crew : 0,cottage : 0,horrible : 2,argue : 3,gesture : 24,minor quibble : 2
inch : 31,criticism : 0,cramped : 0,involve : 2,bang : 3,pricey restaurant : 24,mixed experience : 2
remind : 31,cry : 0,cramped area : 0,joke : 2,bottled drink : 3,rule : 24,neck : 2
rollaway : 31,cupboard : 0,cramped bathroom : 0,liking : 2,claustrophobic room : 3,stain : 24,outdated : 2
rude staff : 31,curtain : 0,cramped bedroom : 0,london : 2,concrete : 3,dangerous : 23,pain : 2
rule : 31,dangerous : 0,cramped feel : 0,mediocre hotel : 2,cupboard : 3,poor quality : 23,poor choice : 2
yellow : 31,dangerous road : 0,cramped hotel : 0,mixed onsen : 2,disappointing breakfast : 3,rude staff : 23,poor experience : 2
gesture : 30,dangerous step : 0,cramped lobby : 0,not uncomfortable : 2,drain : 3,drunk : 22,pricey place : 2
drain : 29,dated : 0,cramped quarters : 0,outdated decor : 2,dusty room : 3,insist : 22,romantic view : 2
shock : 29,dead : 0,cramped room : 0,outdated room : 2,exciting : 3,london : 22,rude person : 2
smallish room : 29,dead area : 0,cramped size : 0,pain : 2,friday : 3,neck : 22,rude service : 2
ability : 28,dead end : 0,cramped space : 0,paint : 2,handful : 3,poor english : 22,rude staff : 2
stain : 28,device : 0,crap : 0,patch : 2,meat : 3,smallish room : 22,sharp : 2
bang : 27,dirty : 0,crazy : 0,poor conditioning : 2,minor issue : 3,duvet : 21,smallish room : 2
drunk : 27,dirty area : 0,crazy amount : 0,poor view : 2,mold : 3,electrical outlet : 21,stale smoke : 2
poor quality : 27,dirty bathroom : 0,crazy city : 0,pricy : 2,not worst : 3,rollaway : 21,stuffy hotel : 2
pricey restaurant : 27,dirty blanket : 0,crazy hour : 0,remind : 2,poor experience : 3,yellow : 21,suffer : 2
ugly : 27,dirty carpet : 0,crazy kid : 0,romantic trip : 2,poor isolation : 3,claim : 20,trash : 2
claim : 26,dirty carpeting : 0,crazy night : 0,rule : 2,poor selection : 3,dirty room : 20,unreasonable : 2
duvet : 26,dirty chair : 0,crazy number : 0,sharp : 2,refuse : 3,problematic : 20,unsure : 2
liking : 25,dirty clothe : 0,crazy price : 0,stale : 2,rude staff : 3,unreasonable : 20,worst experience : 2
pricey hotel : 25,dirty cup : 0,crazy shopper : 0,stiff : 2,smallish room : 3,bang : 19,abit : 0
stiff : 25,dirty curtain : 0,crazy shopping : 0,terrible service : 2,soundproofing : 3,pricey hotel : 19,accord : 0
unreasonable : 25,dirty dish : 0,crazy station : 0,uncomfortable night : 2,stain : 3,stale smell : 19,accurate : 0
friday : 24,dirty feel : 0,crazy time : 0,uncomfortable pillow : 2,stale cigarette : 3,ability : 18,accurate information : 0
neck : 24,dirty filter : 0,crazy view : 0,wet area : 2,stressful : 3,dead : 18,accurate reviews : 0
poor english : 24,dirty floor : 0,crew : 0,wet floor : 2,terrible service : 3,friday : 18,advanced : 0
accurate : 23,dirty glass : 0,criticism : 0,wet room : 2,terrible wifi : 3,inch : 18,advanced book : 0
dirty room : 23,dirty hallway : 0,cry : 0,wet weather : 2,wet clothe : 3,inconsistent : 18,advanced reservation : 0
rollaway bed : 23,dirty hotel : 0,cupboard : 0,worst experience : 2,worst experience : 3,liking : 18,advanced toilet : 0
sharp : 23,dirty linen : 0,dangerous : 0,accord : 0,accurate : 2,background : 17,affair : 0
stressful : 23,dirty luggage : 0,dangerous road : 0,accurate information : 0,advanced : 2,stiff : 17,aircon : 0
stuffy room : 23,dirty restaurant : 0,dangerous step : 0,accurate reviews : 0,annoying elevator : 2,affair : 16,annoying elevator : 0
background : 22,dirty room : 0,dated : 0,advanced : 0,annoying step : 2,outdated room : 16,annoying habit : 0
handful : 22,dirty rug : 0,dead : 0,advanced book : 0,background : 2,pricey breakfast : 16,annoying noise : 0
paint : 22,dirty sheet : 0,dead area : 0,advanced reservation : 0,blanket : 2,sharp : 16,annoying part : 0
inconsistent : 21,dirty stain : 0,dead end : 0,advanced toilet : 0,camping : 2,stuffy room : 16,annoying room : 0
problematic : 21,dirty toilet : 0,device : 0,affair : 0,cramped bathroom : 2,uncomfortable pillow : 16,annoying step : 0
